filename,actor_id,sentence_code,emotion_code,emotion,intensity_code,intensity,filepath
1001_DFA_ANG_XX.wav,1001,DFA,ANG,Anger,XX,Unspecified,datasets/cremad/AudioWAV/1001_DFA_ANG_XX.wav
1001_DFA_DIS_XX.wav,1001,DFA,DIS,Disgust,XX,Unspecified,datasets/cremad/AudioWAV/1001_DFA_DIS_XX.wav
1001_DFA_FEA_XX.wav,1001,DFA,FEA,Fear,XX,Unspecified,datasets/cremad/AudioWAV/1001_DFA_FEA_XX.wav
1001_DFA_HAP_XX.wav,1001,DFA,HAP,Happy,XX,Unspecified,datasets/cremad/AudioWAV/1001_DFA_HAP_XX.wav
1001_DFA_NEU_XX.wav,1001,DFA,NEU,Neutral,XX,Unspecified,datasets/cremad/AudioWAV/1001_DFA_NEU_XX.wav
1001_DFA_SAD_XX.wav,1001,DFA,SAD,Sad,XX,Unspecified,datasets/cremad/AudioWAV/1001_DFA_SAD_XX.wav
1001_IEO_ANG_HI.wav,1001,IEO,ANG,Anger,HI,High,datasets/cremad/AudioWAV/1001_IEO_ANG_HI.wav
1001_IEO_ANG_LO.wav,1001,IEO,ANG,Anger,LO,Low,datasets/cremad/AudioWAV/1001_IEO_ANG_LO.wav
1001_IEO_ANG_MD.wav,1001,IEO,ANG,Anger,MD,Medium,datasets/cremad/AudioWAV/1001_IEO_ANG_MD.wav
1001_IEO_DIS_HI.wav,1001,IEO,DIS,Disgust,HI,High,datasets/cremad/AudioWAV/1001_IEO_DIS_HI.wav
1001_IEO_DIS_LO.wav,1001,IEO,DIS,Disgust,LO,Low,datasets/cremad/AudioWAV/1001_IEO_DIS_LO.wav
1001_IEO_DIS_MD.wav,1001,IEO,DIS,Disgust,MD,Medium,datasets/cremad/AudioWAV/1001_IEO_DIS_MD.wav
1001_IEO_FEA_HI.wav,1001,IEO,FEA,Fear,HI,High,datasets/cremad/AudioWAV/1001_IEO_FEA_HI.wav
1001_IEO_FEA_LO.wav,1001,IEO,FEA,Fear,LO,Low,datasets/cremad/AudioWAV/1001_IEO_FEA_LO.wav
1001_IEO_FEA_MD.wav,1001,IEO,FEA,Fear,MD,Medium,datasets/cremad/AudioWAV/1001_IEO_FEA_MD.wav
1001_IEO_HAP_HI.wav,1001,IEO,HAP,Happy,HI,High,datasets/cremad/AudioWAV/1001_IEO_HAP_HI.wav
1001_IEO_HAP_LO.wav,1001,IEO,HAP,Happy,LO,Low,datasets/cremad/AudioWAV/1001_IEO_HAP_LO.wav
1001_IEO_HAP_MD.wav,1001,IEO,HAP,Happy,MD,Medium,datasets/cremad/AudioWAV/1001_IEO_HAP_MD.wav
1001_IEO_NEU_XX.wav,1001,IEO,NEU,Neutral,XX,Unspecified,datasets/cremad/AudioWAV/1001_IEO_NEU_XX.wav
1001_IEO_SAD_HI.wav,1001,IEO,SAD,Sad,HI,High,datasets/cremad/AudioWAV/1001_IEO_SAD_HI.wav
1001_IEO_SAD_LO.wav,1001,IEO,SAD,Sad,LO,Low,datasets/cremad/AudioWAV/1001_IEO_SAD_LO.wav
1001_IEO_SAD_MD.wav,1001,IEO,SAD,Sad,MD,Medium,datasets/cremad/AudioWAV/1001_IEO_SAD_MD.wav
1001_IOM_ANG_XX.wav,1001,IOM,ANG,Anger,XX,Unspecified,datasets/cremad/AudioWAV/1001_IOM_ANG_XX.wav
1001_IOM_DIS_XX.wav,1001,IOM,DIS,Disgust,XX,Unspecified,datasets/cremad/AudioWAV/1001_IOM_DIS_XX.wav
1001_IOM_FEA_XX.wav,1001,IOM,FEA,Fear,XX,Unspecified,datasets/cremad/AudioWAV/1001_IOM_FEA_XX.wav
1001_IOM_HAP_XX.wav,1001,IOM,HAP,Happy,XX,Unspecified,datasets/cremad/AudioWAV/1001_IOM_HAP_XX.wav
1001_IOM_NEU_XX.wav,1001,IOM,NEU,Neutral,XX,Unspecified,datasets/cremad/AudioWAV/1001_IOM_NEU_XX.wav
1001_IOM_SAD_XX.wav,1001,IOM,SAD,Sad,XX,Unspecified,datasets/cremad/AudioWAV/1001_IOM_SAD_XX.wav
1001_ITH_ANG_XX.wav,1001,ITH,ANG,Anger,XX,Unspecified,datasets/cremad/AudioWAV/1001_ITH_ANG_XX.wav
